archivo,fecha,documento,cliente,n_lineas,suma_cantidad,cajas_esperada,diff,estado
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002953,SUPERMERCADO BARRIO SUCRE 88 F.P,6,1.66,1.67,-0.01,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002954,WU SUPER TODO FP,2,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000003007,"SUPERTODO BOULEVARD, C.A",10,10.08,10.08,0.0,VALIDADO
FACT. TABATA MARCOS 18-02-26.pdf,18/02/2026,0000003055,DISTRIBUIDORA MEGAMAXI C.A,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 18-02-26.pdf,18/02/2026,0000003056,"MINI SUPER 2017,C.A.",5,49.11,49.11,0.0,VALIDADO
FACT. TABATA MARCOS 18-02-26.pdf,18/02/2026,0000003076,MINIMARKET SURTIORIENTE CA,37,12.64,12.58,0.06,VALIDADO
FACT. TABATA MARCOS 18-02-26.pdf,18/02/2026,0000003053,"DISTRIBUIDORA DE ALIMENTOS TROCAG, C.A",3,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 18-02-26.pdf,18/02/2026,0000003054,"LA BODEGUILLA ANDALUZ, C.A",6,11.0,11.0,0.0,VALIDADO
FACT. TABATA MARCOS 19-02-26.pdf,19/02/2026,0000003173,"INVERSIONES NUEVA MIRANDA 88, C. A.",6,4.77,4.77,0.0,VALIDADO
FACT. TABATA MARCOS 19-02-26.pdf,19/02/2026,0000003174,"MINI MARKET SUPERGANGA, C.A",33,23.47,23.48,-0.01,VALIDADO
FACT. TABATA MARCOS 19-02-26.pdf,19/02/2026,0000003211,DISTRIBUIDORA MEGAMAXI C.A,5,4.5,4.5,0.0,VALIDADO
FACT. TABATA MARCOS 19-02-26.pdf,19/02/2026,0000003212,MULTITIENDA BARCELONA C A,3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 19-02-26.pdf,19/02/2026,0000003213,WU SUPER ECONOMICA FP,4,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 19-02-26.pdf,19/02/2026,0000003177,AUTOMERCADO PACIFICO,8,14.0,14.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003294,AUTOMERCADO DAVID FP,7,6.75,6.75,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003295,FRIGORIFICOS BRAVOS DELI CA,10,2.62,2.61,0.01,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003296,MINIMARKET SURTIORIENTE CA,1,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003297,REAL Y MEDIO SUPERMERCADO CA,17,12.19,12.2,-0.01,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003298,AUTOMERCADO TANG 688 F.P,8,4.01,4.0,0.01,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003299,CHANG SUPERMARKET 29 DE MARZO,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003300,EL CONDIMENTAZO DEL BOULEVARD CA,3,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003301,AUTOMERCADO MIXMARKET CA,5,2.01,2.0,0.01,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003303,LEYUMIR ELENA HENRIQUEZ LAYA,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003304,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",1,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003324,AUTOMERCADO PACIFICO,10,22.0,22.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-02-26.pdf,20/02/2026,0000003325,"TODO MARKET, C.A.",20,39.3,39.29,0.01,VALIDADO
FACT. TABATA MARCOS 21-02-26.pdf,21/02/2026,0000003361,AUTOMERCADO PACIFICO,9,20.0,20.0,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003399,"MINI MARKET SUPERGANGA, C.A",4,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003434,FARMACIAS SUPER FARMA CA,10,1.9,1.9,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003435,MINIMARKET SURTIORIENTE CA,1,0.17,0.17,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003436,SUPERMERCADO EL ORIENTE DORADO CA,30,23.0,22.99,0.01,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003437,LIELISBETH GABRIELA CORDERO ( CORDERO ALEIRBAG SHOP FP),29,5.55,5.51,0.04,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003438,DISTRIBUIDORA MEGAMAXI C.A,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003439,COMERCIAL EL GRAN MUNDO 888 CA,23,61.17,61.17,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003440,"MINI SUPER 2017,C.A.",1,34.0,34.0,0.0,VALIDADO
FACT. TABATA MARCOS 23-02-26.pdf,23/02/2026,0000003441,"URANGA INVERSIONES, F.P",18,24.84,24.83,0.01,VALIDADO
FACT. TABATA MARCOS 24-02-26.pdf,24/02/2026,0000003450,LA FRAGATA EXQUISITECES CA,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 24-02-26.pdf,24/02/2026,0000003491,"INVERSIONES TIBACUY SINAI F,P",1,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 25-02-26.pdf,25/02/2026,0000003586,BOLIVAR INVERSIONES CHADAI FP,16,13.87,13.91,-0.04,VALIDADO
FACT. TABATA MARCOS 25-02-26.pdf,25/02/2026,0000003608,EXQUISITECES Y CHARCUTERIA AEROPAN C A,32,5.4,5.42,-0.02,VALIDADO
FACT. TABATA MARCOS 25-02-26.pdf,25/02/2026,0000003609,EXQUISITECES Y CHARCUTERIA AEROPAN C A,19,15.18,15.17,0.01,VALIDADO
FACT. TABATA MARCOS 25-02-26.pdf,25/02/2026,0000003587,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",7,0.77,0.78,-0.01,VALIDADO
FACT. TABATA MARCOS 25-02-26.pdf,25/02/2026,0000003588,"DISTRIBUIDORA DE ALIMENTOS TROCAG, C.A",1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 25-02-26.pdf,25/02/2026,0000003610,AUTOMERCADO PACIFICO,1,10.0,10.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003694,VICT LEAND MARKET CA,26,16.6,16.6,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003701,ALVAREZ PLAZA MARKET F.P,5,12.0,12.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003702,EMPRENDIMIENTO SARA AMER,33,20.36,20.37,-0.01,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003703,"FANG KING MARKET F,P",14,10.11,10.13,-0.02,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003704,MARKET LUISAR CA,21,6.61,6.59,0.02,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003705,SUPERMERCADO MINGYU CA,10,5.58,5.58,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003706,"URANGA INVERSIONES, F.P",2,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003707,WU COMERCIAL BRISAS DEL MAR M.Y F.P,8,4.75,4.75,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003708,"AUTOMERCADO CLASIC URBANEJA, C.A",16,9.64,9.63,0.01,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003709,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-02-26.pdf,26/02/2026,0000003719,AUTOMERCADO PACIFICO,3,2.5,2.5,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003901,CEN SUPER MARKET,3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003902,COMERCIAL NUEVA CARACAS 168 C.A,4,9.0,9.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003921,MULTITIENDA BARCELONA C A,3,3.15,3.15,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003922,"SUPERTODO BOULEVARD, C.A",5,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003937,"MINI SUPER 2017,C.A.",11,336.0,336.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003943,"DEPOSITADORA GIGANTE, C.A.",8,9.67,9.67,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003903,HIPER MERCADO COSTCO CA,33,42.0,42.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003904,LA FRAGATA EXQUISITECES CA,9,5.27,5.25,0.02,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003905,PANAD. PAST. CHARCUT. Y BOD. CITY MANZION 95 CA,13,10.38,10.38,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003923,BODEGON EL IMPERIO C A,4,2.33,2.33,0.0,VALIDADO
FACT. TABATA MARCOS 02-03-26.pdf,02/03/2026,0000003924,BODEGON EL IMPERIO C A,16,6.63,6.65,-0.02,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004043,CHACIN MINI ABASTO FP,6,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004044,CHACIN MINI ABASTO FP,9,10.84,10.83,0.01,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004060,ARIANNE SOFIA MORALES HERRERA,31,18.22,18.2,0.02,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004061,LIANG SUPERMERCADO CHAO 88 FP,15,9.26,9.25,0.01,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004068,WU ZEYUAN UNIMERCADO FAVORITO FP,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004075,EL GRAN CENTURION 2021 CA,8,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004045,"INSIEME, S.A.",9,18.5,18.5,0.0,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004046,PIÑATERIA MCQUEEN 2010 CA,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004069,AUTOMERCADO PACIFICO,1,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004070,"BODEMARKET,C.A",25,12.86,12.83,0.03,VALIDADO
FACT. TABATA MARCOS 04-03-26.pdf,04/03/2026,0000004071,"BODEMARKET,C.A",7,3.13,3.13,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004154,LIANG SUPERMERCADO CHAO 88 FP,2,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004155,BAKERY BAO BAO C.A,7,2.16,2.17,-0.01,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004156,AUTO MERCADO UNIOFERTAS CENTER C A,7,2.91,2.92,-0.01,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004205,CEN SUPER MARKET,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004206,COMERCIALIZADORA PEREDA,2,1.5,1.5,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004208,LIANG SUPERMERCADO CHAO 88 FP,1,0.33,0.33,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004215,LI MEGA PORTELA F.P,2,5.5,5.5,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004216,CEN SUPER MARKET,7,35.0,35.0,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004221,CEN SUPER MARKET,3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004222,CHANG SUPERMARKET 29 DE MARZO,3,9.0,9.0,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004223,DISTRIBUIDORA MEGAMAXI C.A,5,4.25,4.25,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004232,EMPRENDIMIENTO BRICEIDA CERMEÑO,19,7.18,7.18,0.0,VALIDADO
FACT. TABATA MARCOS 05-03-26.pdf,05/03/2026,0000004218,"THE HAO SUPERMARKET, C.A",1,20.0,20.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-03-26.pdf,06/03/2026,0000004287,"MINI MARKET SUPERGANGA, C.A",1,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-03-26.pdf,06/03/2026,0000004288,FARMACIAS SUPER FARMA CA,17,10.4,10.41,-0.01,VALIDADO
FACT. TABATA MARCOS 06-03-26.pdf,06/03/2026,0000004289,DISTRIBUIDORA MEGAMAXI C.A,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-03-26.pdf,06/03/2026,0000004290,CHANG SUPERMARKET 29 DE MARZO,3,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-03-26.pdf,06/03/2026,0000004291,"THE HAO SUPERMARKET, C.A",2,30.0,30.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-03-26.pdf,06/03/2026,0000004304,"TODO MARKET, C.A.",9,37.0,37.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004321,CEN SUPER MARKET,3,6.0,6.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004322,CEN SUPER MARKET,1,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004323,COSMETICOS POR TODO ZHEN FP,10,3.18,3.17,0.01,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004324,EMPRENDIMIENTO SHADI HAMAD,3,8.0,8.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004325,"MINI MARKET SUPERGANGA, C.A",32,23.2,23.17,0.03,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004326,SUPERMERCADO EL ORIENTE DORADO CA,30,20.22,20.21,0.01,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004327,TREBOLLS MARKET CA,49,33.57,33.55,0.02,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004368,FARMACIAS SUPER FARMA CA,17,10.4,10.41,-0.01,VALIDADO
FACT. TABATA MARCOS 09-03-26.pdf,09/03/2026,0000004329,AUTOMERCADO PACIFICO,2,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004493,"MINI SUPER 2017,C.A.",1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004494,BOLIVAR INVERSIONES CHADAI FP,6,3.45,3.46,-0.01,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004495,CEN BOLIVAR,35,14.3,14.25,0.05,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004496,ZHENG INVERSIONES SUPERIOR FP,24,17.34,17.33,0.01,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004455,JOSE EDUARDO FERNANDEZ BORREGO,29,9.88,9.89,-0.01,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004456,BOOM MARKET 2020 CA,31,9.82,9.84,-0.02,VALIDADO
FACT. TABATA MARCOS 10-03-26.pdf,10/03/2026,0000004483,LEYUMIR ELENA HENRIQUEZ LAYA,2,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 11-03-26.pdf,11/03/2026,0000004574,"INVERSIONES NUEVA MIRANDA 88, C. A.",17,11.16,11.14,0.02,VALIDADO
FACT. TABATA MARCOS 11-03-26.pdf,11/03/2026,0000004575,"MINI SUPER 2017,C.A.",1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 11-03-26.pdf,11/03/2026,0000004597,HE AUTOMERCADO YIFAN FP,33,18.67,18.67,0.0,VALIDADO
FACT. TABATA MARCOS 11-03-26.pdf,11/03/2026,0000004577,HOT DOGS LA PRINCIPAL CA,3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 11-03-26.pdf,11/03/2026,0000004578,VIVERES ASIA,2,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 11-03-26.pdf,11/03/2026,0000004603,LA FRAGATA EXQUISITECES CA,16,3.49,3.46,0.03,VALIDADO
FACT. TABATA MARCOS 12-03-26.pdf,12/03/2026,0000004649,"MINI SUPER 2017,C.A.",1,20.0,20.0,0.0,VALIDADO
FACT. TABATA MARCOS 13-03-26.pdf,13/03/2026,0000004708,SUPERMERCADO BARRIO SUCRE 88 F.P,13,5.46,5.46,0.0,VALIDADO
FACT. TABATA MARCOS 13-03-26.pdf,13/03/2026,0000004709,VIVERES ASIA,5,11.0,11.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004809,"URANGA INVERSIONES, F.P",18,34.47,34.48,-0.01,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004810,MULTITIENDA BARCELONA C A,2,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004811,"MINI MARKET SUPERGANGA, C.A",25,16.26,16.26,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004812,"FANG KING MARKET F,P",1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004813,DISTRIBUIDORA MEGAMAXI C.A,10,10.0,10.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004846,NG DARLI MUNDO FP,25,28.5,28.5,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004847,SUPERMERCADO MINGYU CA,17,16.51,16.5,0.01,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004848,SUPERMERCADO Y CONFITERIA DISNEY,7,4.51,4.5,0.01,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004814,"ALIMERKA, C.A.",7,6.67,6.67,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004820,AUTOMERCADO PACIFICO,1,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004821,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",1,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-03-26.pdf,16/03/2026,0000004849,"THE HAO SUPERMARKET, C.A",2,25.0,25.0,0.0,VALIDADO
FACT. TABATA MARCOS 17-03-26.pdf,17/03/2026,0000004866,"MINI SUPER 2017,C.A.",1,10.0,10.0,0.0,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000004983,CEN SUPER MARKET,6,11.0,11.0,0.0,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000004984,COMERCIAL NUEVA CARACAS 168 C.A,16,5.36,5.35,0.01,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000004985,"DEPOSITADORA GIGANTE, C.A.",4,1.83,1.83,0.0,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000004986,GARCIA MINI MARKET CUKYS CAKES FP,6,3.17,3.17,0.0,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000004987,MINIMARKET SURTIORIENTE CA,37,20.48,20.46,0.02,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000005050,LI MEGA PORTELA F.P,3,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 18-03-26.pdf,18/03/2026,0000005051,"DISTRIBUIDORA CAMINO REAL C Y D, CA",5,3.77,3.77,0.0,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005085,AUTOMERCADO MIXMARKET CA,5,2.34,2.33,0.01,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005086,"DEPOSITADORA GIGANTE, C.A.",9,5.72,5.72,0.0,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005116,AUTOMERCADO TANG 688 F.P,15,6.69,6.67,0.02,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005117,CEN BOLIVAR,9,7.5,7.5,0.0,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005118,REAL Y MEDIO SUPERMERCADO CA,57,43.47,43.47,0.0,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005119,REAL Y MEDIO SUPERMERCADO CA,10,8.0,8.0,0.0,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005120,"MINI SUPER 2017,C.A.",2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 19-03-26.pdf,19/03/2026,0000005087,AUTOMERCADO PACIFICO,4,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005163,"SUPERTODO BOULEVARD, C.A",11,10.5,10.5,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005164,CEN SUPER MARKET,2,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005169,AUTOMERCADO DAVID FP,8,19.0,19.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005170,SUPERCOMBO EXPRESS CA,15,50.0,50.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005217,COMERCIALIZADORA PEREDA,30,12.67,12.67,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005218,COSMETICOS POR TODO ZHEN FP,15,7.29,7.29,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005219,VICT LEAND MARKET CA,10,10.67,10.67,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005171,LA FRAGATA EXQUISITECES CA,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005172,MERCADO LA FINCA CA,5,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005173,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",1,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005174,"TODO MARKET, C.A.",3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-03-26.pdf,20/03/2026,0000005191,VIVERES ASIA,1,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 23-03-26.pdf,23/03/2026,0000005286,"AUTOMERCADO Y PANADERIA LA NARANJA, C. A.",30,12.51,12.5,0.01,VALIDADO
FACT. TABATA MARCOS 23-03-26.pdf,23/03/2026,0000005287,"AUTOMERCADO Y PANADERIA LA NARANJA, C. A.",30,8.81,8.78,0.03,VALIDADO
FACT. TABATA MARCOS 23-03-26.pdf,23/03/2026,0000005288,"AUTOMERCADO Y PANADERIA LA NARANJA, C. A.",4,1.71,1.71,0.0,VALIDADO
FACT. TABATA MARCOS 23-03-26.pdf,23/03/2026,0000005289,EL BODEGON DE MOREIRA CA,9,12.0,12.0,0.0,VALIDADO
FACT. TABATA MARCOS 23-03-26.pdf,23/03/2026,0000005290,LIANG SUPERMERCADO CHAO 88 FP,32,30.6,30.58,0.02,VALIDADO
FACT. TABATA MARCOS 23-03-26.pdf,23/03/2026,0000005276,"AUTOMERCADO CLASIC URBANEJA, C.A",13,10.67,10.67,0.0,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005544,COMERCIAL EL GRAN MUNDO 888 CA,29,58.92,58.92,0.0,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005545,DISTRIBUIDORA MEGAMAXI C.A,18,14.75,14.75,0.0,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005546,FRIGORIFICOS BRAVOS DELI CA,7,1.45,1.45,0.0,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005547,LU COMERCIAL GRAN CASITA FP,6,2.68,2.67,0.01,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005548,SUPERMERCADO BARRIO SUCRE 88 F.P,12,5.37,5.37,0.0,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005558,MARKET LUISAR CA,45,16.59,16.56,0.03,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005575,"DEPOSITADORA GIGANTE, C.A.",7,4.33,4.33,0.0,VALIDADO
FACT. TABATA MARCOS 25-03-26.pdf,25/03/2026,0000005549,"INSIEME, S.A.",14,16.86,16.86,0.0,VALIDADO
FACT. TABATA MARCOS 27-03-26.pdf,27/03/2026,0000005749,BODEGON EL IMPERIO C A,2,1.5,1.5,0.0,VALIDADO
FACT. TABATA MARCOS 27-03-26.pdf,27/03/2026,0000005750,"INSIEME, S.A.",1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 27-03-26.pdf,27/03/2026,0000005737,ARIANNE SOFIA MORALES HERRERA,24,17.34,17.33,0.01,VALIDADO
FACT. TABATA MARCOS 27-03-26.pdf,27/03/2026,0000005738,CEN BOLIVAR,16,9.59,9.58,0.01,VALIDADO
FACT. TABATA MARCOS 27-03-26.pdf,27/03/2026,0000005739,COMERCIAL EL GRAN MUNDO 888 CA,1,0.42,0.42,0.0,VALIDADO
FACT. TABATA MARCOS 27-03-26.pdf,27/03/2026,0000005740,"COMERCIAL LA CARIDAD BENDITA, C.A",19,5.26,5.24,0.02,VALIDADO
